Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Kode_Bahasa,Format_Buku,Ebook,Penerbit
7346,,"The Book of Lost Tales, Part Two (The History of Middle-Earth, #2)","[J.R.R. Tolkien, Christopher Tolkien]",1992,5726,3.85,391,80,eng,Mass Market Paperback,FALSE,Del Rey
7347,345375211,"The Book of Lost Tales, Part One (The History of Middle-Earth, #1)","[J.R.R. Tolkien, Christopher Tolkien]",1992,10508,3.83,367,191,eng,Mass Market Paperback,FALSE,Del Rey/Ballantine Books
7348,7105045,Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth,[J.R.R. Tolkien],2001,2253,4.09,176,93,eng,Paperback,FALSE,HarperCollins Publishers Ltd
7351,618260226,The Lord of the Rings: The Making of the Movie Trilogy,"[Brian Sibley, Ian McKellen]",2002,7640,4.46,192,33,eng,Paperback,FALSE,Mariner Books
7352,345215508,Tolkien: A Look Behind The Lord of the Rings,[Lin Carter],1972,13,3.76,211,0,eng,,FALSE,Ballantine Books (NY)
7353,1402516274,"The Lord of the Rings (The Lord of the Rings, #1-3)","[J.R.R. Tolkien, Rob Inglis]",2002,142,4.49,56,16,eng,Audio CD,FALSE,"Recorded Books, Inc."
7354,743225422,The Shipping News,[Annie Proulx],2002,115837,3.85,337,3836,eng,Paperback,FALSE,Scribner Book Company
7355,068419337X,The Shipping News,[Annie Proulx],1993,209,3.85,337,43,,Hardcover,FALSE,Scribner Book Company
7356,826452337,Annie Proulx's the Shipping News,[Aliki Varvogli],2002,46,4.28,96,1,,Paperback,FALSE,Continuum
7359,1875739572,Wizard Study Guide the Shipping News,"[Benkamoun, Richard McRoberts, Benkamoun]",2002,0,0,48,0,,Paperback,FALSE,Wizard Books
7360,679643419,Midnight in the Garden of Good and Evil,[John Berendt],2005,982,3.92,388,80,eng,Hardcover,FALSE,Modern Library
7361,140364544,Tom's Midnight Garden,[Philippa Pearce],1993,150,4.07,238,10,eng,Paperback,FALSE,Puffin Books
7363,60734760,Midnight in the Garden of Good and Evie,[Marianne Stillings],2005,211,3.82,384,27,,Paperback,FALSE,Avon
7364,141319992,Tom's Midnight Garden,[Philippa Pearce],,104,4.07,234,13,eng,,FALSE,
7366,156031442,Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior,"[Temple Grandin, Catherine  Johnson]",2006,7465,4.14,358,959,eng,Paperback,FALSE,Harcourt
7367,739455303,Animals In Translation: Using the Mysteries of Autism to Decode Animal Behavior,"[Temple Grandin, Catherine  Johnson]",2005,101,4.14,356,18,eng,Paperback,FALSE,Scribner
7368,029278726X,Plants and Animals in the Life of the Kuna,"[Jorge Ventocilla, Hans Roeder, Elisabeth King]",1995,4,3.6,168,0,,Paperback,FALSE,University of Texas Press
7369,9004110704,De Animalibus: Books 11-14 Pt.2: Michael Scot's Arabic-Latin Translation,"[Aristotle, Michael Scot, Aafke M.I. van Oppenraay]",1998,0,0,608,0,,Hardcover,FALSE,Brill
7370,1930051158,God's Covenant with Animals: A Biblical Basis for the Humane Treatment of All Creatures,[J.R. Hyland],2000,15,4,128,4,eng,Paperback,FALSE,Lantern Books
7371,068484723X,Further Along the Road Less Traveled: The Unending Journey Towards Spiritual Growth,[M. Scott Peck],1998,4668,4.08,252,78,,Paperback,FALSE,Touchstone
7372,671620541,Exploring the Road Less Traveled: A Study Guide for Small Groups: A Workbook for Individuals: A Step-By-Step Guide for Group Leaders,"[Alice Howard, Howard Walden]",1985,10,3.17,192,0,,Paperback,FALSE,Touchstone
7373,929636457,Roads Less Traveled: Dispatches from the Ends of the Earth,[Catherine Watson],2005,45,4.04,280,7,,Paperback,FALSE,Syren Book Company
7375,471468851,Lafayette,[Harlow Giles Unger],2003,580,4.37,452,83,eng,Paperback,FALSE,Wiley (TP)
7376,831757124,Lafayette Escadrille: Men at War,[Herbert Molloy Mason],1995,10,3.83,342,0,,Hardcover,FALSE,Smithmark Publishers
7377,1841767522,SPA124 Lafayette Escadrille: American Volunteer Airmen in World War 1,"[Jon Guttman, Harry Dempsey]",2004,14,4,128,1,,Paperback,FALSE,Osprey Publishing
7378,1589790189,General and Madam de Lafayette: Partners in Liberty's Cause in the American and French Revolutions,[Jason Lane],2003,32,4.24,392,9,,Hardcover,FALSE,Taylor Trade Publishing
7380,914778560,Why Mexicans Think & Behave the Way They Do!,[Boyé Lafayette de Mente],2005,7,3.23,140,0,,Paperback,FALSE,DBA Phoenix Books / Publishers
7382,698118820,Why Not Lafayette?,"[Jean Fritz, Ronald Himler]",2001,14,3.92,96,4,,Paperback,FALSE,Puffin Books
7383,595409903,"United States and the World Face to Face: America's Best and Worst: Women, Men, People, Ideas, Events, News, Gossip",[Jean-Maximillien De La Croix de Lafayette],2006,0,0,672,0,,Paperback,FALSE,iUniverse
7384,082174853X,Why Don't You Have Kids?: Living a Full Life Without Parenthood,[Leslie Lafayette],1995,59,4,296,14,,Hardcover,FALSE,Zebra
7385,415906784,Unwomanly Conduct: The Challenges of Intentional Childlessness,[Carolyn M. Morell],1994,12,3.42,222,2,,Paperback,FALSE,Routledge
7386,945774087,"Three Novels: Hordubal, Meteor, An Ordinary Life","[Karel Čapek, R. Weatherall, M. Weatherall, William Harkins]",1990,290,3.91,480,8,,Paperback,FALSE,Catbird Press
7387,188522382X,Pride And Joy: The Lives And Passions Of Women Without Children,[Terri Casey],2007,48,3.64,224,6,,Paperback,FALSE,Atria Books/Beyond Words
7388,671624970,My Pride and Joy: An Autobiography,[George Adamson],1987,130,4.24,304,11,en-US,Hardcover,FALSE,Simon & Schuster
7389,785113797,"Runaways, Vol. 1: Pride and Joy (Runaways, #1)","[Brian K. Vaughan, Adrian Alphona]",2006,24185,3.97,144,835,eng,Paperback,FALSE,Marvel
7390,743406001,Pride and Joy: African-American Baby Celebrations,"[Janice Robinson-Celeste, Alvin Poussaint, Katy Blander, Paul Shepherd]",2001,0,0,208,0,,Paperback,FALSE,Pocket Books
7391,785280286,Jen's Pride and Joy,[Neva Coyle],1995,12,3.58,284,0,,Paperback,FALSE,Thomas Nelson Publishers
7392,373056613,Pride & Joy,[Joyce Thies],,4,3,195,1,eng,,FALSE,
7393,373194862,Sky's Pride and Joy (Bachelor Gulch #8),[Sandra Steffen],2000,2,3,192,0,eng,Paperback,FALSE,Silhouette Romance
7396,755300998,Pride And Joy,[Dee Williams],2004,24,4.35,448,2,,Paperback,FALSE,Headline
7397,743242645,The Baby Boon: How Family-Friendly America Cheats the Childless,[Elinor Burkett],2002,85,3.59,272,12,,Paperback,FALSE,Free Press
7398,263144801,The Secret Baby (Sinful Secrets #3),[Day Leclaire],1996,21,2.97,288,1,,Hardcover,FALSE,Mills & Boon
7399,026316313X,Undercover Baby,[Rebecca Winters],2000,8,3.2,288,0,,Hardcover,FALSE,Mills & Boon
7400,263181499,The Baby Emergency (Tennengarrah Clinic #1),[Carol Marinelli],2004,0,3.52,285,0,eng,Paperback,FALSE,Mills & Boon
7401,263171795,The Baby Issue,[Jennifer Taylor],2005,0,3.82,286,0,,Hardcover,FALSE,Mills & Boon
7402,263163571,The Baby Verdict,[Cathy Williams],2000,4,3.19,288,0,,Hardcover,FALSE,Mills & Boon
7404,026316179X,Babies on Her Mind,[Jessica Matthews],1999,4,3.25,284,0,,Hardcover,FALSE,Mills & Boon
7407,345469666,"On the Road with Francis of Assisi: A Timeless Journey Through Umbria and Tuscany, and Beyond",[Linda Bird Francke],2006,86,3.83,304,18,,Paperback,FALSE,Random House Trade Paperbacks
7409,618494936,The Road to Damietta,[Scott O'Dell],2004,196,3.52,320,20,,Paperback,FALSE,HMH Books for Young Readers
