,Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Format_Buku,Ebook,Penerbit,Jumlah_Penulis
87,110,765353709,The Road to Dune (Dune Universe),"['Frank Herbert', 'Brian Herbert', 'Kevin J. Anderson']",2006,4643,3.88,426,76,Paperback,False,Tor Science Fiction,3
89,117,441328008,Heretics of Dune (Dune Chronicles #5),['Frank Herbert'],1987,45338,3.86,471,631,Mass Market Paperback,False,Ace Books,1
90,121,671797077,The Patriarch: The Rise and Fall of the Bingham Dynasty,"['Susan E. Tifft', 'Alex S. Jones']",1993,8,3.67,576,1,Paperback,False,Touchstone,2
91,122,034541005X,"The Power of One (The Power of One, #1)",['Bryce Courtenay'],1996,67321,4.35,544,4450,Paperback,False,Ballantine Books,1
92,123,385732546,"The Power of One (The Power of One, #1)",['Bryce Courtenay'],2005,44,4.35,291,12,Hardcover,False,Delacorte Books for Young Readers,1
93,125,061831556X,The Power of One: Daisy Bates and the Little Rock Nine,"['Dennis Brindell Fradin', 'Judith Bloom Fradin']",2004,35,4.43,192,7,Hardcover,False,Clarion Books,2
94,128,883686287,The Power of One Christlike Life,['Francis Frangipane'],2000,33,4.19,159,2,Paperback,False,Whitaker House,1
95,129,785260056,"The Power of One: One Person, One Rule, One Month","['John C. Maxwell', 'Stephen R. Graves', 'Thomas G. Addington']",2004,16,4.28,256,1,Paperback,False,Thomas Nelson,3
96,130,471780936,Power of an Hour: Business and Life Mastery in One Hour a Week,['Dave Lakhani'],2006,165,3.31,205,16,Hardcover,False,Wiley,1
97,131,325001537,"The Power of One: The Solo Play for Playwrights, Actors, and Directors",['Louis E. Catron'],2000,10,3.67,240,0,Paperback,False,Heinemann Drama,1
98,132,006076287X,"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",['Adam Ginsberg'],2005,74,3.44,336,9,Paperback,False,William Morrow Paperbacks,1
99,133,470045299,eBay for Dummies,['Marsha Collier'],2006,105,3.51,386,9,Paperback,False,Wiley,1
100,134,72258691,eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers,"['Debra Schepp', 'Brad Schepp', 'Michael  Kaiser']",2004,39,3.57,385,2,Paperback,False,McGraw-Hill/Osborne,3
101,135,72262788,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,"['Chris Malta', 'Lisa Suttora']",2006,24,3.62,260,0,Paperback,False,McGraw-Hill,2
102,137,764569244,Starting an eBay Business for Dummies,['Marsha Collier'],2004,52,3.53,384,4,Paperback,False,Wiley,1
103,138,471933821,eBay: Top 100 Simplified Tips & Tricks,['Julia Wilkinson'],2006,9,4.27,260,0,Paperback,False,Wiley,1
104,139,764559915,ebay Timesaving Techniques for Dummies,['Marsha Collier'],2004,21,3.41,391,1,Paperback,False,Wiley,1
105,140,764584383,eBay Business All-in-One Desk Reference for Dummies,['Marsha Collier'],2005,17,3.89,864,3,Paperback,False,Wiley,1
106,141,596523696,Ruby Cookbook,"['Lucas Carlson', 'Leonard Richardson']",2006,164,3.83,873,4,Paperback,False,O'Reilly Media,2
107,142,806523492,Ruby Ann's Down Home Trailer Park Cookbook,['Ruby Ann Boxcar'],2005,49,4.1,240,5,Paperback,False,Citadel,1
108,144,806525363,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,['Ruby Ann Boxcar'],2005,13,4.08,206,2,Paperback,False,Citadel,1
109,146,809231530,Ruby's Low-Fat Soul Food Cookbook,['Ruby Banks-Payne'],1996,5,4.8,175,0,Paperback,False,McGraw-Hill/Contemporary Books,1
110,147,596527314,Rails Cookbook: Recipes for Rapid Web Development with Ruby,['Rob Orsini'],2007,64,3.48,514,1,Paperback,False,O'Reilly Media,1
111,149,184215298X,The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,['Ruby Le Bois'],2000,4,3.75,256,0,Paperback,False,Anness Publishing/Southwater Publishing,1
112,151,143035002,Anna Karenina,"['Leo Tolstoy', 'Richard Pevear', 'Larissa Volokhonsky']",2004,15986,4.04,838,1803,Paperback,False,Penguin Classics,3
113,152,451528611,Anna Karenina,"['Leo Tolstoy', 'David Magarshack', 'Priscilla Meyer']",2002,109166,4.04,960,5660,Mass Market Paperback,False,Signet,3
114,153,140449175,Anna Karenina,"['Leo Tolstoy', 'Richard Pevear', 'Larissa Volokhonsky', 'John Bayley']",2003,2847,4.04,837,299,Paperback,False,Penguin Books,4
115,154,822001837,CliffsNotes on Tolstoy's Anna Karenina,"['Marianne Sturman', 'Leo Tolstoy']",1965,15,3.89,80,3,Paperback,False,Cliffs Notes,2
116,155,1593080271,Anna Karenina,"['Leo Tolstoy', 'Amy Mandelker', 'Constance Garnett']",2003,9414,4.04,803,709,Paperback,False,Barnes & Noble Classics,3
117,156,486437965,Anna Karenina,"['Leo Tolstoy', 'Louise Maude', 'Aylmer Maude']",2004,466,4.04,752,72,Paperback,False,Dover Publications,3
118,157,1593081774,Anna Karenina,"['Leo Tolstoy', 'Constance Garnett', 'Amy Mandelker']",2004,298,4.04,803,46,Hardcover,False,Barnes & Noble,3
119,159,778322270,Dinner with Anna Karenina,['Gloria Goldreich'],2006,404,2.97,360,64,Hardcover,False,Mira Books,1
120,160,521313252,Tolstoy: Anna Karenina,['Anthony Thorlby'],2010,1192,4.19,128,32,Paperback,False,Cambridge University Press,1
121,162,140183957,Untouchable,"['Mulk Raj Anand', 'E.M. Forster']",1990,3248,3.71,160,257,Paperback,False,Penguin Books,2
122,163,679767479,The Untouchable,['John Banville'],1998,2092,3.95,367,212,Paperback,False,Vintage,1
123,164,1568491980,The Untouchables,"['Eliot Ness', 'Oscar Fraley']",1996,598,3.89,256,29,Hardcover,False,Buccaneer Books,2
124,165,743270797,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,['Narendra Jadhav'],2005,301,3.81,320,39,Hardcover,False,Scribner,1
