,Tweets
66,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
67,"RT @kachaww_: Mengatasi polusi di jakarta :
Menggunakan kendaraan umum ❌
Mengurangi konsumsi plastik❌
Menanam tumbuhan lidah mertua❌
Mati l…"
68,"RT @kachaww_: Mengatasi polusi di jakarta :
Menggunakan kendaraan umum ❌
Mengurangi konsumsi plastik❌
Menanam tumbuhan lidah mertua❌
Mati l…"
69,"Negara Santuy Yang Panik Di Saat Situasi Santuy. Saat Gempa:. "" Eh, gempa? Entar makanan blm abis "". "" Hah, gempa?… https://t.co/rAItT47Mqi"
70,"RT @AKDkrisna: Efek #matilampu 9 jam dan baru nyala semalem, udara pagi Jakarta lebih bersih dan lebih dingin.. Pada berasa nggak? #terimak…"
71,"RT @kachaww_: Mengatasi polusi di jakarta :
Menggunakan kendaraan umum ❌
Mengurangi konsumsi plastik❌
Menanam tumbuhan lidah mertua❌
Mati l…"
72,#matilistrik #matilampu #matilampulagi ez https://t.co/WoE8BSAzX7
73,"RT @alydapasaribu: @pln_123 ga sadar kalau mati lampu, masak beras jadi rugi 2liter.. gamau tau.. pln harus gantiin beras saya yang uda ker…"
74,"Masih dibahas hingga kini, apa aja sih kerugian MRT pas #MatiLampu kemarin? Siapa aja dari kalian yang setia jadi p… https://t.co/ZSwUOXE6Ge"
75,"RT @Reidhansaputraa: Pagi hari ini

👧: sayang lagi dimana?
👦: lagi dijalan
👧: ngapain??
👦: beli lonte
👧: kita putus

Efek #matilampu gini a…"
76,"@pln_123 ga sadar kalau mati lampu, masak beras jadi rugi 2liter.. gamau tau.. pln harus gantiin beras saya yang ud… https://t.co/ejfwUCBFdX"
77,"RT @gorba_psi: Kejadian ketiga #matilampu yang kita rasakan kemarin.

Sudah dijelaskan oleh @pln_123 kepada Pak @jokowi tadi pagi, bagaiman…"
78,"PLN kamu jangan kaya dia yang ngilang se enaknya tanpa kasih kabar.
Aing lagi ngecas bangsat!

#matilampu #matilampulagi"
79,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
80,"RT @deanlynx: Renungan gaes...
#matilampu
#matilampulagi 
#jakartablackout 
#PLNDown https://t.co/cnGJvWbNBG"
81,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
82,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
83,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
84,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
85,"RT @kachaww_: Mengatasi polusi di jakarta :
Menggunakan kendaraan umum ❌
Mengurangi konsumsi plastik❌
Menanam tumbuhan lidah mertua❌
Mati l…"
86,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
87,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
88,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
89,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
90,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
91,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
92,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
93,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
94,"RT @powerfm892: Mimin akhirnya punya jaringan Dan listrik buat ngetwitt...

Ada yg kzl gara2 #matilampu ada juga yang bersyukur gara2 #mati…"
95,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
96,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
97,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
98,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
99,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
100,"RT @AKDkrisna: Efek #matilampu 9 jam dan baru nyala semalem, udara pagi Jakarta lebih bersih dan lebih dingin.. Pada berasa nggak? #terimak…"
101,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
102,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
103,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
104,Suka heran sama netijen banyakan hastag #KangDanielSmile daripada #PLNKuat apa kalian butuhnya daniel bukan listrik… https://t.co/CKcU8E7mVe
105,"Nyicip bini orang di hotel 😘😘 
 #bokeptante #perawanngentot #matilampu #matilampulagi #plnblackout… https://t.co/GUXPfkXjpw"
106,"RT @deanlynx: Renungan gaes...
#matilampu
#matilampulagi 
#jakartablackout 
#PLNDown https://t.co/cnGJvWbNBG"
