,Book_Title,Author,Rating,Score,People_Voted
2643,Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy,3.94,97,"
1 person voted
        "
2644,The Dawn of Redemption,Dedra L. Stevenson,4.80,97,"
1 person voted
        "
2645,A Madness So Discreet,Mindy McGinnis,3.79,97,"
1 person voted
        "
2646,Sprint of the Blackbuck: Writings on Wildlife and Conservation in South India,S. Theodore Baskaran,3.64,97,"
1 person voted
        "
2647,"Shalador's Lady (The Black Jewels, #8)",Anne Bishop,4.34,97,"
1 person voted
        "
2648,The Circle Cast: The Lost Years of Morgan Le Fay,Alex Epstein,3.54,97,"
1 person voted
        "
2649,Unravelled in New York,Suzanne Nicole,3.95,97,"
1 person voted
        "
2650,"The Trouble with Romance (Cupid, #2)",Tamara Philip,4.54,97,"
1 person voted
        "
2651,City of Masks: (The Bone Mask Trilogy #1),Ashley Capes,3.86,97,"
1 person voted
        "
2652,The Apple Tart of Hope,Sarah Moore Fitzgerald,3.91,97,"
1 person voted
        "
2653,The Slight Edge: Turning Simple Disciplines into Massive Success and Happiness,Jeff Olson,4.39,97,"
1 person voted
        "
2654,The Doomsday Vault (Clockwork Empire #1),Steven Harper,3.63,97,"
1 person voted
        "
2655,The Ultimate Reality,Gian Kumar,4.56,97,"
1 person voted
        "
2656,"Shield and the Shadow (The Horizon Cycle, #1)",A.M. Yates,4.17,97,"
1 person voted
        "
2657,Americanah,Chimamanda Ngozi Adichie,4.30,97,"
1 person voted
        "
2658,Germany: Memories of a Nation,Neil MacGregor,4.56,97,"
1 person voted
        "
2659,God's Not Dead 2,Travis Thrasher,4.35,97,"
1 person voted
        "
2660,"My Wolf's Bane (Shapes of Autumn, #1)",Veronica Blade,3.76,97,"
1 person voted
        "
2661,"Binary (®Evolution, #2)",Stephanie Saulter,4.14,97,"
1 person voted
        "
2662,"A Faerie's Revenge (Creepy Hollow, #5)",Rachel  Morgan,4.44,97,"
1 person voted
        "
2663,"Girl Online On Tour (Girl Online, #2)",Zoe Sugg,3.86,97,"
1 person voted
        "
2664,"The Bad Queen: Rules and Instructions for Marie-Antoinette (Young Royals, #6)",Carolyn Meyer,3.94,97,"
1 person voted
        "
2665,Black-Naped Oriole in Hokkaido Snow,Leonard Seet,4.67,97,"
1 person voted
        "
2666,As Flores de Lótus (Trilogia do Lótus #1),José Rodrigues dos Santos,3.68,97,"
1 person voted
        "
2667,"Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists (Pottermore Presents, #2)",J.K. Rowling,4.19,97,"
1 person voted
        "
2668,"More Than Jamie Baker (Jamie Baker, #2)",Kelly Oram,4.17,97,"
1 person voted
        "
2669,Death's End (Remembrance of Earth's Past #3),Liu Cixin,4.44,97,"
1 person voted
        "
2670,Paperweight,Meg Haston,3.88,97,"
1 person voted
        "
2671,Rich and Poor,Jacob Wren,3.90,97,"
1 person voted
        "
2672,"Dark Storm (Dark, #20)",Christine Feehan,4.26,97,"
1 person voted
        "
2673,The Last Painting of Sara de Vos,Dominic Smith,3.86,97,"
1 person voted
        "
2674,Decision Points,George W. Bush,3.79,97,"
1 person voted
        "
2675,No Book but the World,Leah Hager Cohen,3.35,97,"
1 person voted
        "
2676,"Bounce: A Story from The Grid (Shadow-Keepers, #1.5)",Jas T. Ward,4.74,97,"
1 person voted
        "
2677,Limonov,Emmanuel Carrère,4.07,97,"
1 person voted
        "
2678,Where Am I Now?: True Stories of Girlhood and Accidental Fame,Mara Wilson,3.86,97,"
1 person voted
        "
2679,Loitering: New & Collected Essays,Charles D'Ambrosio,4.04,97,"
1 person voted
        "
2680,"Dust (Silo, #3)",Hugh Howey,4.26,97,"
1 person voted
        "
2681,"The Other Side of Silence (Bernie Gunther, #11)",Philip Kerr,4.03,97,"
1 person voted
        "
2682,Ahsoka,E.K. Johnston,4.02,97,"
1 person voted
        "
2683,Calvin,Martine Leavitt,3.79,97,"
1 person voted
        "
2684,"Carrying Albert Home: The Somewhat True Story of A Man, His Wife, and Her Alligator",Homer Hickam,3.86,97,"
1 person voted
        "
2685,Welcome to Braggsville,T. Geronimo Johnson,3.26,97,"
1 person voted
        "
2686,"Cast in Sorrow (Chronicles of Elantra, #9)",Michelle Sagara,4.18,97,"
1 person voted
        "
2687,Catalyst: A Rogue One Novel,James Luceno,3.72,97,"
1 person voted
        "
2688,Hidden Figures,Margot Lee Shetterly,3.96,97,"
1 person voted
        "
2689,Today Will Be Different,Maria Semple,3.19,97,"
1 person voted
        "
2690,"A Grimm Warning (The Land of Stories, #3)",Chris Colfer,4.52,97,"
1 person voted
        "
2691,"Hacker, Hoaxer, Whistleblower, Spy: The Many Faces of Anonymous",Gabriella Coleman,3.83,97,"
1 person voted
        "
2692,Britain Begins,Barry W. Cunliffe,4.26,97,"
1 person voted
        "
2693,"Der Gefangene des Himmels (Der Friedhof der Vergessenen Bücher, #3)",Carlos Ruiz Zafón,eall,97,"
1 person voted
        "
2694,Dark Matter,Blake Crouch,4.10,97,"
1 person voted
        "
2695,"The Angel of Death (The Soul Summoner, #3)",Elicia Hyder,4.30,97,"
1 person voted
        "
2696,Between a Mother and Her Child,Elizabeth Noble,3.70,97,"
1 person voted
        "
2697,Flowers of the Sea,Reggie Oliver,4.42,97,"
1 person voted
        "
2698,"The Extraordinary Education of Nicholas Benedict (The Mysterious Benedict Society, #0.5)",Trenton Lee Stewart,4.35,97,"
1 person voted
        "
2699,"A Nation Rising: Untold Tales of Flawed Founders, Fallen Heroes, and Forgotten Fighters from America's Hidden History",Kenneth C. Davis,3.63,97,"
1 person voted
        "
2700,Grey: Fifty Shades of Grey as Told by Christian | Book Summary,Elite Summaries,2.73,97,"
1 person voted
        "
2701,Nuclear Family: A Tragicomic Novel in Letters,Susanna Fogel,3.93,97,"
1 person voted
        "
2702,Sweet Jones: Pimp C's Trill Life Story,Julia Beverly,4.55,97,"
1 person voted
        "
2703,The Passionettes,John Blandly,t wa,97,"
1 person voted
        "
2704,"American Vampire, Vol. 1",Scott Snyder,3.98,97,"
1 person voted
        "
2705,A Love Story How God Pursued Me and Found Me: An Impossibly True Story,Samantha Ryan Chandler,4.14,97,"
1 person voted
        "
2706,Shadows Cast by Stars,Catherine Knutsson,3.58,97,"
1 person voted
        "
2707,Iris Investigates: Beastly Goings On In Pelican Wharf,David Jacks,4.97,97,"
1 person voted
        "
2708,Behold the Dreamers,Imbolo Mbue,3.95,97,"
1 person voted
        "
2709,Аеропорт,Sergei Loiko,3.89,97,"
1 person voted
        "
2710,"Unclaimed (Turner, #2)",Courtney Milan,3.93,97,"
1 person voted
        "
2711,"America Speaks, When will Our Hearts Listen: WHEN AMERICA BURN, SO DOES OUR CONSCIENCE",Kristin  Hannah,2.40,97,"
1 person voted
        "
2712,Augustown,Kei Miller,4.28,97,"
1 person voted
        "
2713,"The Queen of the Tearling (The Queen of the Tearling, #1)",Erika Johansen,4.02,97,"
1 person voted
        "
2714,We Were Eight Years in Power: An American Tragedy,Ta-Nehisi Coates,4.44,97,"
1 person voted
        "
2715,The Luster of Lost Things,Sophie Chen Keller,3.75,97,"
1 person voted
        "
2716,"Pimpernel (Pimpernel, #1)",Sheralyn Pratt,4.13,97,"
1 person voted
        "
2717,The Hate U Give,Angie Thomas,4.53,97,"
1 person voted
        "
2718,"The Long War (The Long Earth, #2)",Terry Pratchett,3.60,97,"
1 person voted
        "
2719,Brown Dog: Novellas,Jim Harrison,4.11,97,"
1 person voted
        "
2720,Going Home,James D. Shipman,4.05,97,"
1 person voted
        "
2721,The Girl Before,J.P. Delaney,3.69,97,"
1 person voted
        "
2722,A Spy Among Friends: Kim Philby and the Great Betrayal,Ben Macintyre,4.14,97,"
1 person voted
        "
2723,The Novel in the Viola,Natasha Solomons,3.78,97,"
1 person voted
        "
2724,Επίλογος σε ότι ονειρεύτηκες,"BLEΣΣED, Mark Evlogimenos",4.93,97,"
1 person voted
        "
2725,Ant Encounters: Interaction Networks and Colony Behavior,Deborah M. Gordon,4.03,97,"
1 person voted
        "
2726,The Rise and Fall of D.O.D.O.,Neal Stephenson,3.87,97,"
1 person voted
        "
2727,Whole: Rethinking the Science of Nutrition,T. Colin Campbell,3.91,97,"
1 person voted
        "
2728,"The Lucky Heart (Jamison Valley, #3)",Devney Perry,4.29,97,"
1 person voted
        "
2729,Commonwealth,Ann Patchett,3.81,97,"
1 person voted
        "
2730,Britt-Marie var her,Fredrik Backman,4.07,97,"
1 person voted
        "
2731,"The Oath of the Vayuputras (Shiva Trilogy, #3)",Amish Tripathi,3.74,97,"
1 person voted
        "
2732,"Blood Song (Blood Singer, #1)",Cat Adams,3.75,97,"
1 person voted
        "
2733,A Wind in the House of Islam,David Garrison,4.30,97,"
1 person voted
        "
2734,The Mermaid and Mrs Hancock,Imogen Hermes Gowar,3.62,97,"
1 person voted
        "
2735,"Connections in Death (In Death, #48)",J.D. Robb,4.30,97,"
1 person voted
        "
2736,"Where'd You Go, Bernadette",Maria Semple,3.90,97,"
1 person voted
        "
2737,"The Ship of the Dead (Magnus Chase and the Gods of Asgard, #3)",Rick Riordan,4.38,97,"
1 person voted
        "
2738,The Girl Who Never Read Noam Chomsky,Jana Casale,3.62,97,"
1 person voted
        "
2739,"Godsgrave (The Nevernight Chronicle, #2)",Jay Kristoff,4.59,97,"
1 person voted
        "
2740,The Electric State,Simon Stålenhag,4.42,97,"
1 person voted
        "
2741,Now I Rise (The Conqueror's Saga #2),Kiersten White,4.21,97,"
1 person voted
        "
2742,"Once Upon a Prince (Royal Wedding, #1)",Rachel Hauck,3.86,97,"
1 person voted
        "
2743,Beckomberga: Ode till min familj,Sara Stridsberg,3.81,97,"
1 person voted
        "
2744,Księgi Jakubowe,Olga Tokarczuk,4.18,97,"
1 person voted
        "
2745,Miss You,Kate Eberlen,3.76,97,"
1 person voted
        "
2746,The Great Derangement: Climate Change and the Unthinkable,Amitav Ghosh,4.09,97,"
1 person voted
        "
2747,Booked: Literature in the Soul of Me,Karen Swallow Prior,4.22,97,"
1 person voted
        "
2748,The Silk Roads: A New History of the World,Peter Frankopan,4.25,97,"
1 person voted
        "
2749,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,3.97,97,"
1 person voted
        "
2750,Swapped by a Kiss,Luisa Plaja,3.69,96,"
1 person voted
        "
2751,"The Carrie Diaries (The Carrie Diaries, #1)",Candace Bushnell,3.57,96,"
1 person voted
        "
2752,The Piper's Son,Melina Marchetta,4.05,96,"
1 person voted
        "
2753,Brilliant Prey,Brenda Wallace,3.24,96,"
1 person voted
        "
2754,"Blood Law (Blood Moon Rising Trilogy, #1)",Karin Tabke,3.76,96,"
1 person voted
        "
2755,40: A Doonesbury Retrospective,G.B. Trudeau,4.52,96,"
1 person voted
        "
2756,The Orchid House,Lucinda Riley,3.87,96,"
1 person voted
        "
2757,"Chasing the Prophecy (Beyonders, #3)",Brandon Mull,4.36,96,"
1 person voted
        "
2758,"Tiger (New Species, #7)",Laurann Dohner,4.34,96,"
1 person voted
        "
2759,"Vortex (Tempest, #2)",Julie Cross,3.90,96,"
1 person voted
        "
2760,"Vortex (Insignia, #2)",S.J. Kincaid,4.28,96,"
2 people voted
        "
2761,Camera Five,Martyn Stratton,3.38,96,"
1 person voted
        "
2762,"The Edge of Always (The Edge of Never, #2)",J.A. Redmerski,4.01,96,"
1 person voted
        "
2763,"Odin's Wolves (Raven, #3)",Giles Kristian,4.30,96,"
1 person voted
        "
2764,"Moonlight (Knights of Black Swan, #4)",Victoria Danann,4.37,96,"
1 person voted
        "
2765,A Debacle of Donuts,Allison M. Dickson,3.97,96,"
1 person voted
        "
2766,Milk and Filth,Carmen Gimenez Smith,4.03,96,"
1 person voted
        "
2767,"Not a Drop to Drink (Not a Drop to Drink, #1)",Mindy McGinnis,3.82,96,"
1 person voted
        "
2768,"My Soul to Keep (Soul Screamers, #3)",Rachel Vincent,4.09,96,"
1 person voted
        "
2769,Anyone but You (Twisted Lit #3),Kim Askew,3.73,96,"
1 person voted
        "
2770,In Case We Die,Danny Bland,4.21,96,"
1 person voted
        "
2771,Indescribable: Encountering the Glory of God in the Beauty of the Universe,Louie Giglio,4.15,96,"
1 person voted
        "
2772,The Croning,Laird Barron,3.73,96,"
1 person voted
        "
2773,"Death Cloud (Young Sherlock Holmes, #1)",Andy Lane,3.71,96,"
1 person voted
        "
2774,The Heart of a Gypsy,Roberta Kagan,3.66,96,"
1 person voted
        "
2775,Capital,John Lanchester,3.70,96,"
1 person voted
        "
2776,Slow Violence and the Environmentalism of the Poor,Rob Nixon,4.34,96,"
1 person voted
        "
2777,Hinterland,Caroline Brothers,3.93,96,"
1 person voted
        "
2778,Scrap Metal,Harper Fox,4.02,96,"
1 person voted
        "
2779,Beckon,Tom Pawlik,3.79,96,"
1 person voted
        "
2780,"Dead or Alive (Jack Ryan Universe, #13)",Tom Clancy,3.82,96,"
1 person voted
        "
2781,So Good They Can't Ignore You,Cal Newport,4.11,96,"
1 person voted
        "
2782,War of the Whales: A True Story,Joshua Horwitz,4.05,96,"
1 person voted
        "
2783,The Folly of Fools: The Logic of Deceit and Self-Deception in Human Life,Robert Trivers,3.58,96,"
1 person voted
        "
2784,"The Winter We Danced: Voices from the Past, the Future, and the Idle No More Movement",The Kino-Nda-Niimi Collective,4.35,96,"
1 person voted
        "
2785,Unlikely Brothers,John Prendergast,3.83,96,"
1 person voted
        "
2786,"Love Fortunes and Other Disasters (Grimbaud, #1)",Kimberly Karalius,3.53,96,"
1 person voted
        "
2787,The Soldier's Wife,Pamela Hart,3.92,96,"
1 person voted
        "
2788,Wilson,Daniel Clowes,3.75,96,"
1 person voted
        "
2789,Hope Is a Girl Selling Fruit,Amrita Das,3.97,96,"
1 person voted
        "
2790,Disconnected,J. Cafesin,4.20,96,"
1 person voted
        "
2791,"Insurrection: To Believe Is Human To Doubt, Divine",Peter Rollins,4.11,96,"
1 person voted
        "
2792,"The Burning Sky (The Elemental Trilogy, #1)",Sherry Thomas,3.91,96,"
1 person voted
        "
2793,Sorrowful,Robert Reynolds,t wa,96,"
1 person voted
        "
2794,Dystopia Boy: The Unauthorized Files,Trevor D. Richardson,4.50,96,"
1 person voted
        "
2795,Racing the Moon,Michelle  Morgan,3.33,96,"
1 person voted
        "
2796,Ihon alaiset,Anu Holopainen,3.65,96,"
1 person voted
        "
2797,"Tangled Threads (Elemental Assassin, #4)",Jennifer Estep,4.15,96,"
1 person voted
        "
2798,La noche de Valia,Monika Zgustová,3.05,96,"
1 person voted
        "
2799,The Fat of The Land,R. Allen Chappell,4.10,96,"
1 person voted
        "
2800,All Who Go Do Not Return,Shulem Deen,4.25,96,"
1 person voted
        "
2801,"Confessions of a Murder Suspect (Confessions, #1)",James Patterson,3.89,96,"
2 people voted
        "
2802,The High Road,Terry Fallis,3.99,96,"
1 person voted
        "
2803,Church of Spies: The Pope's Secret War Against Hitler,Mark Riebling,4.18,96,"
1 person voted
        "
2804,"The Masked City (The Invisible Library, #2)",Genevieve Cogman,3.95,96,"
1 person voted
        "
2805,Jenseits Von Feuerland,Carla Federico,3.83,96,"
1 person voted
        "
2806,Sulky och Bebbe regerar okej,John Ajvide Lindqvist,3.50,96,"
1 person voted
        "
2807,The Rise of the Warrior,Dedra L. Stevenson,4.25,96,"
1 person voted
        "
2808,The Foxglove Killings,Tara Kelly,3.78,96,"
1 person voted
        "
2809,"Touch of Power (Healer, #1)",Maria V. Snyder,4.15,96,"
1 person voted
        "
2810,The Boy Who Couldn't Sleep and Never Had To,D.C. Pierson,3.42,96,"
1 person voted
        "
2811,"Le zoo pétrifié (Les carnets de Cerise, #1)",Joris Chamblain,4.28,96,"
1 person voted
        "
2812,"Stone Cold (Broken Magic, #2)",Devon Monk,4.01,96,"
1 person voted
        "
2813,Beatrice and Benedick,Marina Fiorato,3.57,96,"
1 person voted
        "
2814,"Atlantean (Eternal Trilogy, #1)",E.N. Watkins,3.37,96,"
1 person voted
        "
2815,Exploring Calvin and Hobbes: An Exhibition Catalogue,Bill Watterson,4.67,96,"
1 person voted
        "
2816,One Paris Summer,Denise Grover Swank,3.95,96,"
1 person voted
        "
2817,The Lost Mask: (The Bone Mask Trilogy #2),Ashley Capes,4.21,96,"
1 person voted
        "
2818,Perla,Carolina De Robertis,3.94,96,"
1 person voted
        "
2819,The Stone Thrower,Adam Marek,4.10,96,"
1 person voted
        "
2820,The Time Traveler's Handbook: 18 Experiences from the Eruption of Vesuvius to Woodstock,James Wyllie,3.71,96,"
1 person voted
        "
2821,"Something Like Summer (Seasons, #1)",Jay Bell,4.09,96,"
1 person voted
        "
2822,"The Emblem Throne (The Runes of Issalia, #2)",Jeffrey L. Kohanek,4.09,96,"
1 person voted
        "
2823,"Dark Horse (Dark Horse, #1)",Kate Sherwood,3.96,96,"
1 person voted
        "
2824,"Stars Above (The Lunar Chronicles, #0.5, 0.6, 1.5, 3.1, 4.5)",Marissa Meyer,4.23,96,"
1 person voted
        "
2825,Doctorow: Collected Stories,E.L. Doctorow,3.74,96,"
1 person voted
        "
2826,A Head Full of Ghosts,Paul Tremblay,3.80,96,"
1 person voted
        "
2827,Knitlandia: A Knitter Sees the World,Clara Parkes,3.83,96,"
1 person voted
        "
2828,"A Faerie's Secret (Creepy Hollow, #4)",Rachel  Morgan,4.39,96,"
1 person voted
        "
2829,A Work in Progress,Connor Franta,4.28,96,"
1 person voted
        "
2830,"Girl Online (Girl Online, #1)",Zoe Sugg,3.73,96,"
1 person voted
        "
2831,"Death of an Avid Reader (Kate Shackleton, #6)",Frances Brody,3.85,96,"
1 person voted
        "
2832,"Remember Jamie Baker (Jamie Baker, #3)",Kelly Oram,4.26,96,"
1 person voted
        "
2833,One,Sarah Crossan,4.16,96,"
1 person voted
        "
2834,Steep Tea,Jee Leong Koh,4.20,96,"
1 person voted
        "
2835,Public Offerings Book 2: The Price of a Life,Bob LiVolsi,4.57,96,"
1 person voted
        "
2836,This Raging Light,Estelle Laure,3.69,96,"
1 person voted
        "
2837,It's What I Do: A Photographer's Life of Love and War,Lynsey Addario,4.33,96,"
1 person voted
        "
2838,"Dark Lycan (Dark, #21)",Christine Feehan,4.36,96,"
1 person voted
        "
2839,My Conference Can Beat Up Your Conference: Why the SEC Rules College Football,Paul Finebaum,3.79,96,"
1 person voted
        "
2840,Bits and Pieces: Tales and Sonnets by Jas T. Ward (Volume),Jas T. Ward,t wa,96,"
1 person voted
        "
2841,Sottomissione,Michel Houellebecq,3.64,96,"
1 person voted
        "
2842,Free to Fall,Lauren   Miller,3.97,96,"
1 person voted
        "
2843,The Shell Collector,Hugh Howey,3.76,96,"
1 person voted
        "
2844,"Dom Wars: Rounds 1, 2, 3 (Dom Wars, #1-3)",Lucian Bane,3.93,96,"
1 person voted
        "
2845,Teaching My Mother How to Give Birth,Warsan Shire,4.32,96,"
1 person voted
        "
2846,"Spice and Wolf, Vol. 17",Isuna Hasekura,4.35,96,"
1 person voted
        "
2847,"The School for Good and Evil (The School for Good and Evil, #1)",Soman Chainani,4.01,96,"
1 person voted
        "
2848,Mischling,Affinity Konar,3.85,96,"
1 person voted
        "
2849,The Age of Earthquakes: A Guide to the Extreme Present,Douglas Coupland,3.90,96,"
1 person voted
        "
2850,Disorientations: Groundings,Jay Wright,4.14,96,"
1 person voted
        "
2851,The Book of Unknown Americans,Cristina Henriquez,3.87,96,"
1 person voted
        "
2852,"Cast in Flame (Chronicles of Elantra, #10)",Michelle Sagara,4.27,96,"
1 person voted
        "
2853,"Dunkle Pfade (Die Legenden der Albae, #3)",Markus Heitz,4.07,96,"
1 person voted
        "
2854,"Scorched Earth (Henderson's Boys, #7)",Robert Muchamore,4.33,96,"
1 person voted
        "
2855,ΕΦΦάνταστες Ιστορίες,Δημήτρης Φύσσας,4.75,96,"
1 person voted
        "
2856,You're Never Weird on the Internet,Felicia Day,4.13,96,"
1 person voted
        "
2857,Lion,Saroo Brierley,4.12,96,"
1 person voted
        "
2858,"Blackout (Newsflesh Trilogy, #3)",Mira Grant,4.09,96,"
1 person voted
        "
2859,The Days of Anna Madrigal,Armistead Maupin,4.03,96,"
1 person voted
        "
2860,More Than Two: A Practical Guide to Ethical Polyamory,Franklin Veaux,4.40,96,"
1 person voted
        "
2861,Gospel: Recovering the Power that Made Christianity Revolutionary,J.D. Greear,4.35,96,"
1 person voted
        "
2862,"Goodbye, Piccadilly: War at Home, 1914",Cynthia Harrod-Eagles,3.75,96,"
1 person voted
        "
2863,"Feverborn (Fever, #8)",Karen Marie Moning,4.21,96,"
1 person voted
        "
2864,"Tales of the Peculiar (Miss Peregrine's Peculiar Children, #0.5)",Ransom Riggs,4.16,96,"
1 person voted
        "
2865,Julia Vanishes,Catherine Egan,3.63,96,"
1 person voted
        "
2866,"Year of Yes: How to Dance It Out, Stand In the Sun and Be Your Own Person",Shonda Rhimes,4.08,96,"
1 person voted
        "
2867,"Red Rising (Red Rising, #1)",Pierce Brown,4.27,96,"
1 person voted
        "
2868,The Longest Ride,Nicholas Sparks,4.14,96,"
1 person voted
        "
2869,Ziggyology: A Brief History Of Ziggy Stardust,Simon Goddard,4.08,96,"
1 person voted
        "
2870,The Dark Tower: Battle of Jericho Hill,Robin Furth,4.31,96,"
1 person voted
        "
2871,Once: Before Midnight/Golden/Wild Orchid,Cameron Dokey,4.09,96,"
1 person voted
        "
2872,Princess Princess Ever After,Katie O'Neill,4.17,96,"
1 person voted
        "
2873,"Saga, Vol. 7",Brian K. Vaughan,4.51,96,"
1 person voted
        "
2874,Summary of The Martian: by Andy Weir | Includes Analysis,Elite Summaries,3.58,96,"
1 person voted
        "
2875,The Book of Strange New Things,Michel Faber,3.66,96,"
1 person voted
        "
2876,"Art of 4 Elements (Alchemy of Love Mindfulness Training, #1)",Nataša Nuit Pantović,4.74,96,"
1 person voted
        "
2877,Crédito Universitário,John Blandly,4.50,96,"
1 person voted
        "
2878,"Fatale, Vol. 1: Death Chases Me (Fatale, #1)",Ed Brubaker,3.90,96,"
1 person voted
        "
2879,"The Bear and the Nightingale (Winternight Trilogy, #1)",Katherine Arden,4.12,96,"
1 person voted
        "
2880,Holding Up the Universe,Jennifer Niven,3.89,96,"
1 person voted
        "
2881,Enzo Flashfire: The Birth Of Spyridon Five,David Jacks,t wa,96,"
1 person voted
        "
2882,Hag-Seed,Margaret Atwood,3.86,96,"
1 person voted
        "
2883,Milk and Honey,Rupi Kaur,4.12,96,"
1 person voted
        "
2884,My Life Next Door,Huntley Fitzpatrick,eall,96,"
1 person voted
        "
2885,A Gentleman in Moscow,Amor Towles,4.36,96,"
1 person voted
        "
2886,Укри,Богдан Жолдак,3.67,96,"
1 person voted
        "
2887,Into Great Silence: A Memoir of Discovery and Loss among Vanishing Orcas,Eva Saulitis,4.23,96,"
1 person voted
        "
2888,"Nine Women, One Dress",Jane L. Rosen,3.82,96,"
1 person voted
        "
2889,You had me at hello,Mhairi McFarlane,3.79,96,"
1 person voted
        "
2890,"Dark Water (Detective Erika Foster, #3)",Robert Bryndza,4.30,96,"
1 person voted
        "
2891,The Nix,Nathan  Hill,4.09,96,"
1 person voted
        "
2892,SPQR: A History of Ancient Rome,Mary Beard,4.07,96,"
1 person voted
        "
2893,"The Long Mars (The Long Earth, #3)",Terry Pratchett,3.72,96,"
1 person voted
        "
2894,"Where'd You Go, Bernadette",Maria Semple,3.90,96,"
1 person voted
        "
2895,The Ultimatum (Jeremy Fisk #3),Dick Wolf,3.79,96,"
1 person voted
        "
2896,Homegoing,Yaa Gyasi,4.42,96,"
1 person voted
        "
2897,"A Column of Fire (Kingsbridge, #3)",Ken Follett,4.21,96,"
1 person voted
        "
2898,Sweet Tooth,Ian McEwan,3.41,96,"
1 person voted
        "
2899,Il giorno dei morti: L'autunno del commissario Ricciardi,Maurizio de Giovanni,4.21,96,"
1 person voted
        "
2900,Telegraph Avenue,Michael Chabon,3.38,96,"
1 person voted
        "
2901,"The Dark Prophecy (The Trials of Apollo, #2)",Rick Riordan,4.25,96,"
1 person voted
        "
2902,"The Clover Chapel (Jamison Valley, #2)",Devney Perry,4.16,96,"
1 person voted
        "
2903,The House of Broken Angels,Luis Alberto Urrea,3.97,96,"
1 person voted
        "
2904,En mand der hedder Ove,Fredrik Backman,4.36,96,"
1 person voted
        "
2905,All the Light We Cannot See,Anthony Doerr,4.33,96,"
1 person voted
        "
2906,The Largesse of the Sea Maiden,Denis Johnson,3.80,96,"
1 person voted
        "
2907,You Are What You Love: The Spiritual Power of Habit,James K.A. Smith,4.21,96,"
1 person voted
        "
2908,All Grown Up,Jami Attenberg,3.41,96,"
1 person voted
        "
2909,Thrawn,Timothy Zahn,4.27,96,"
1 person voted
        "
2910,The Portable Veblen,Elizabeth Mckenzie,3.44,96,"
1 person voted
        "
2911,No Time to Spare: Thinking About What Matters,Ursula K. Le Guin,4.03,96,"
1 person voted
        "
2912,Owen,Tony Riches,eall,96,"
1 person voted
        "
2913,"Skyward (Skyward, #1)",Brandon Sanderson,4.55,96,"
1 person voted
        "
2914,Prisoner of the Inquisition,Theresa Breslin,3.75,96,"
1 person voted
        "
2915,"Insurrection (The Insurrection Trilogy, #1)",Robyn Young,3.96,95,"
1 person voted
        "
2916,"Fins Are Forever (Fins, #2)",Tera Lynn Childs,3.92,95,"
1 person voted
        "
2917,"Toonopolis: Gemini (Toonopolis Files, #1)",Jeremy Rodden,3.95,95,"
1 person voted
        "
2918,"Five Odd Honors (Breaking the Wall, #3)",Jane Lindskold,3.76,95,"
1 person voted
        "
2919,Buzz: A Year of Paying Attention,Katherine Ellison,3.68,95,"
1 person voted
        "
2920,Canadian Railroad Trilogy,Gordon Lightfoot,4.04,95,"
1 person voted
        "
2921,Missing 411: Western United States and Canada,David Paulides,4.12,95,"
1 person voted
        "
2922,"Seeds of Rebellion (Beyonders, #2)",Brandon Mull,4.27,95,"
1 person voted
        "
2923,"Obsidian (New Species, #8)",Laurann Dohner,4.22,95,"
1 person voted
        "
2924,"Tempest (Tempest, #1)",Julie Cross,3.71,95,"
1 person voted
        "
2925,Permeable Borders,Nina Kiriki Hoffman,4.25,95,"
1 person voted
        "
2926,"Portrait of a Spy (Gabriel Allon, #11)",Daniel Silva,4.25,95,"
1 person voted
        "
2927,"Tremble (Denazen, #3)",Jus Accardo,4.13,95,"
2 people voted
        "
2928,"Memory (Hard Case Crime, #64)",Donald E. Westlake,3.76,95,"
1 person voted
        "
2929,The Viking's Apprentice (The Viking's Apprentice #1),Kevin McLeod,3.89,95,"
1 person voted
        "
2930,How to Get Filthy Rich in Rising Asia,Mohsin Hamid,3.79,95,"
1 person voted
        "
2931,Pretty Tilt,Carrie Murphy,4.58,95,"
1 person voted
        "
2932,The Crusades: The Authoritative History of the War for the Holy Land,Thomas Asbridge,4.15,95,"
1 person voted
        "
2933,Hopeless Savages: Greatest Hits 2000-2010,Jen Van Meter,4.03,95,"
1 person voted
        "
2934,"My Soul to Steal (Soul Screamers, #4)",Rachel Vincent,4.12,95,"
1 person voted
        "
2935,Drinking with Strangers: Music Lessons from a Teenage Bullet Belt,Butch Walker,4.13,95,"
1 person voted
        "
2936,The Greatest Gift: Unwrapping the Full Love Story of Christmas,Ann Voskamp,4.28,95,"
1 person voted
        "
2937,Fever,Mary Beth Keane,3.66,95,"
1 person voted
        "
2938,Occultation and Other Stories,Laird Barron,4.10,95,"
1 person voted
        "
2939,"The Patron Saint of Lost Dogs (Cyrus Mills, #1)",Nick Trout,3.64,95,"
1 person voted
        "
2940,The Gypsy Witch,Roberta Kagan,3.83,95,"
1 person voted
        "
2941,"Life is What You Make It: A Story of Love, Hope and How Determination Can Overcome Even Destiny",Preeti Shenoy,3.58,95,"
1 person voted
        "
2942,The Slave Across the Street,Theresa Flores,3.73,95,"
1 person voted
        "
2943,The Bear,Claire  Cameron,3.33,95,"
1 person voted
        "
