,Book_Title,Author,Rating,Score,People_Voted
204,The Big Short: Inside the Doomsday Machine,Michael   Lewis,4.28,"2,718","and
30 people voted
    "
205,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,4.42,"2,715","and
35 people voted
    "
206,I'll Give You the Sun,Jandy Nelson,4.13,"2,705","and
31 people voted
    "
207,The Language of Flowers,Vanessa Diffenbaugh,4.08,"2,692","and
32 people voted
    "
208,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.02,"2,619","and
29 people voted
    "
209,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,4.31,"2,611","and
31 people voted
    "
210,This Is How You Lose Her,Junot Díaz,3.75,"2,609","and
30 people voted
    "
211,"The Black Prism (Lightbringer, #1)",Brent Weeks,4.24,"2,576","and
27 people voted
    "
212,"Seraphina (Seraphina, #1)",Rachel Hartman,3.97,"2,536","and
28 people voted
    "
213,"Morning Star (Red Rising, #3)",Pierce Brown,4.49,"2,521","and
29 people voted
    "
214,Exotic Neurotic,Kenneth Jarrett Singleton,4.39,"2,498","and
25 people voted
    "
215,The Hate U Give,Angie Thomas,4.53,"2,488","and
28 people voted
    "
216,The Son,Philipp Meyer,eall,"2,408","and
27 people voted
    "
217,"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin,3.84,"2,403","and
26 people voted
    "
218,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renée Ahdieh,4.15,"2,398","and
28 people voted
    "
219,"The Hidden Oracle (The Trials of Apollo, #1)",Rick Riordan,4.27,"2,398","and
29 people voted
    "
220,"Code Name Verity (Code Name Verity, #1)",Elizabeth E. Wein,4.06,"2,390","and
28 people voted
    "
221,I Am Pilgrim,Terry Hayes,4.25,"2,370","and
25 people voted
    "
222,A Gentleman in Moscow,Amor Towles,4.36,"2,365","and
25 people voted
    "
223,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.62,"2,343","and
28 people voted
    "
224,"Every Day (Every Day, #1)",David Levithan,3.96,"2,329","and
27 people voted
    "
225,"Simon vs. the Homo Sapiens Agenda (Creekwood, #1)",Becky Albertalli,4.32,"2,317","and
28 people voted
    "
226,"Bared to You (Crossfire, #1)",Sylvia Day,4.19,"2,290","and
27 people voted
    "
227,"Onyx (Lux, #2)",Jennifer L. Armentrout,4.31,"2,250","and
29 people voted
    "
228,"Maybe Someday (Maybe, #1)",Colleen Hoover,4.29,"2,226","and
26 people voted
    "
229,Steve Jobs,Walter Isaacson,4.12,"2,222","and
25 people voted
    "
230,"Halo (Halo, #1)",Alexandra Adornetto,3.66,"2,214","and
26 people voted
    "
231,Dark Matter,Blake Crouch,4.10,"2,211","and
25 people voted
    "
232,"Opal (Lux, #3)",Jennifer L. Armentrout,4.31,"2,206","and
29 people voted
    "
233,The Secret Keeper,Kate Morton,4.14,"2,200","and
25 people voted
    "
234,"You Really Are Full of Shit, Aren't You?",Karl Wiggins,4.16,"2,184","and
22 people voted
    "
235,"Reached (Matched, #3)",Ally Condie,3.56,"2,144","and
29 people voted
    "
236,The Scorpio Races,Maggie Stiefvater,4.09,"2,137","and
26 people voted
    "
237,Yes Please,Amy Poehler,3.82,"2,127","and
27 people voted
    "
238,"The Magician King (The Magicians, #2)",Lev Grossman,3.92,"2,067","and
24 people voted
    "
239,"Paranormalcy (Paranormalcy, #1)",Kiersten White,3.90,"2,056","and
24 people voted
    "
240,The Kitchen House,Kathleen Grissom,4.19,"2,054","and
25 people voted
    "
241,"A Red Herring Without Mustard (Flavia de Luce, #3)",Alan Bradley,4.07,"2,015","and
21 people voted
    "
242,"Warm Bodies (Warm Bodies, #1)",Isaac Marion,3.92,"2,014","and
25 people voted
    "
243,Ancillary Justice (Imperial Radch #1),Ann Leckie,3.98,"2,006","and
23 people voted
    "
244,"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,3.78,"2,004","and
23 people voted
    "
245,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,4.31,"2,004","and
22 people voted
    "
246,Everything I Never Told You,Celeste Ng,3.84,"2,004","and
25 people voted
    "
247,The Tiger's Wife,Téa Obreht,3.38,"2,003","and
24 people voted
    "
248,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4.02,"2,002","and
25 people voted
    "
249,Redshirts,John Scalzi,3.85,"1,986","and
22 people voted
    "
250,"Silver Borne (Mercy Thompson, #5)",Patricia Briggs,4.38,"1,984","and
22 people voted
    "
251,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,3.83,"1,978","and
22 people voted
    "
252,The Lowland,Jhumpa Lahiri,3.84,"1,976","and
24 people voted
    "
253,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,3.75,"1,955","and
24 people voted
    "
254,"Feed (Newsflesh Trilogy, #1)",Mira Grant,3.85,"1,952","and
23 people voted
    "
255,The Circle,Dave Eggers,3.43,"1,951","and
24 people voted
    "
256,A Constellation of Vital Phenomena,Anthony Marra,4.13,"1,939","and
24 people voted
    "
257,Homegoing,Yaa Gyasi,4.42,"1,936","and
22 people voted
    "
258,"Harry Potter and the Cursed Child (Harry Potter, #8)",John Tiffany,3.67,"1,932","and
26 people voted
    "
