user,date,text,latitude,longitude
hazman92_,Tue Aug 13 10:58:09 +0000 2019,"Berikut adalah beberapa fakta menarik mengenai London;
1. Lebih daripada 300 bahasa dituturkan di London. Hal ini a… https://t.co/efyxQ7jiAc",51.50711486,-0.12731805
xvrblck,Tue Aug 13 10:57:36 +0000 2019,🙅🏽‍♂️#XVRBEATOFTHEDAY🙅🏽‍♂️| One for the rappers? | 🤙🏼👀| #Beats #Instrumentals #UK #London #producer @ London  Unite… https://t.co/MvWHjlvP2w,51.50711486,-0.12731805
StarTraxxEnt,Tue Aug 13 10:55:46 +0000 2019,FACTO 😅😅😅🛸 My Smoke different #Levles... I give good discounts tho 🔥😤 @ London  United Kingdom https://t.co/WhR0yrfQCg,51.50711486,-0.12731805
shabbadan,Tue Aug 13 10:55:29 +0000 2019,👍🏻 @ London  United Kingdom https://t.co/b00HuuN44R,51.50711486,-0.12731805
piliviolin,Tue Aug 13 10:54:19 +0000 2019,"Let me be that star ✨
Cover - smash
@piliviolin
.
.
.
.
.
. Voy a cantar esto en Londres 🛬
.
.
.
.
.🤩
.
.
. 
.
.… https://t.co/tylCvEsXnK",51.50711486,-0.12731805
PLUS256_9ja,Tue Aug 13 10:53:32 +0000 2019,Am such... @ London  United Kingdom https://t.co/zLUpzjoUhz,51.50711486,-0.12731805
Santin_nicol,Tue Aug 13 10:53:09 +0000 2019,Una parte de mi alma 🤓 en London  United Kingdom https://t.co/6f8MDPqBGp,51.50711486,-0.12731805
PLUS256_9ja,Tue Aug 13 10:52:44 +0000 2019,Happy Eid to you...... @ London  United Kingdom https://t.co/2vzg6r1Ijx,51.50711486,-0.12731805
RyanSamuda,Tue Aug 13 10:52:22 +0000 2019,"AIM - Always in Movement
.
.
.
#Filmmaking #Filmmaker #filmmakerlife #art #photography #love #style #video @ London… https://t.co/Ga6vG3KqSq",51.50711486,-0.12731805
MahsaWatercolor,Tue Aug 13 10:51:13 +0000 2019,"Hi All :) in this post I want to share my home products from the my new Collection: 
Bathroom curtains  Cushions/Th… https://t.co/dCP5o6EFo5",51.50711486,-0.12731805
MahsaWatercolor,Tue Aug 13 10:51:13 +0000 2019,"Hi All :) in this post I want to share my home products from the my new Collection: 
Bathroom curtains  Cushions/Th… https://t.co/dCP5o6EFo5",51.50711486,-0.12731805
TheHFLMentor,Tue Aug 13 10:50:21 +0000 2019,No caption needed... 🤔#londonpt #fitness #londonfitness #health #lifestyle #gymlife #entreprenuer #honesty #truth… https://t.co/CejNcZ7oBP,51.50711486,-0.12731805
BryherJones,Tue Aug 13 10:49:41 +0000 2019,London City Bus Tour 🚌 #tourists @original_tour #london #sightseeing @ London  United Kingdom https://t.co/1m0ZThwyKr,51.50711486,-0.12731805
Paulandrewking,Tue Aug 13 10:47:32 +0000 2019,Just posted a photo @ Tafalagure Square https://t.co/CBDBQlVOnv,51.50809587,-0.12838175
JohnOv3rblast,Tue Aug 13 10:47:11 +0000 2019,Ambience #atmosphere #ambiente #scapes #escapism #silence #cinematography #london #metropolis #architecture… https://t.co/hAaSSMzzFh,51.50711486,-0.12731805
I_Do_Films,Tue Aug 13 10:45:52 +0000 2019,On this day 14 years ago I made him the happiest boy alive 😂 #happiestgirlalive #anniversary #14yearsmarried… https://t.co/psMJbBJlvx,51.50711486,-0.12731805
djjohnyg,Tue Aug 13 10:45:43 +0000 2019,"Thursday 22nd Aug 
We have an amazing Latino 
Latin Culture pre Carnival experience! 💃🕺🎶🎧🎤
- CARNIVALALTINA - 
Live… https://t.co/d2cM68ijdZ",51.50711486,-0.12731805
MyiaBonner,Tue Aug 13 10:42:53 +0000 2019,The Natal Necklace is a truly unique and personal journey to create your own unique birth geometry pendant  by taki… https://t.co/vEpTjqPeZq,51.50711486,-0.12731805
tmj_lon_adv,Tue Aug 13 10:41:54 +0000 2019,See our latest #London #Marketing job opportunity and click the link in our bio to apply: Experienced Brand Communi… https://t.co/6hOS6ZWSV4,51.5073509,-0.1277583
Danny_Howells,Tue Aug 13 10:38:37 +0000 2019,A short clip from this morning’s vigil which saw another 4000 chickens killed at this East London slaughterhouse.… https://t.co/7NWEFerRr8,51.50711486,-0.12731805
tmj_lon_sales,Tue Aug 13 10:38:24 +0000 2019,If you're looking for work in #London  England  check out this #Sales job via the link in our bio: Sales Associate … https://t.co/15kvuNOjxA,51.5073509,-0.1277583
a_ashmore,Tue Aug 13 10:36:27 +0000 2019,"Grilled Courgettes &amp; Fresh Pesto 🌿 
  ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🤘🏼
  ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#sideorders #courgette #food #foodie #basil… https://t.co/Ojl9OJuCm2",51.50711486,-0.12731805
mar_lopez,Tue Aug 13 10:35:42 +0000 2019,"Meditation time: What is coming is better than what is gone 💜🙏
We all need time to meditate and focus on what is re… https://t.co/npCtd1N8cd",51.50711486,-0.12731805
Britneynnw,Tue Aug 13 10:34:49 +0000 2019,♥️ @ London  United Kingdom https://t.co/GfWCGVEAKX,51.50711486,-0.12731805
